3.726,19.411,1,0.785
27.384,19.453,1,0.746
14.073,19.455,1,0.603
23.221,19.479,1,0.449
0.944,19.500,1,0.778
24.515,19.505,1,0.733
8.382,19.525,2,0.838
30.592,19.544,1,0.393
12.999,19.575,1,0.259
18.773,19.608,2,0.869
25.025,19.734,1,0.165
15.938,19.755,1,0.731
2.768,19.764,2,0.892
5.545,19.768,1,0.663
29.230,19.780,1,0.801
26.379,19.825,1,0.661
10.212,19.842,2,0.876
14.816,19.861,1,0.573
20.615,19.913,2,0.718
7.400,20.003,1,0.666
4.593,20.024,1,0.565
26.836,20.029,1,0.390
17.788,20.045,1,0.667
12.042,20.135,2,0.681
28.229,20.147,1,0.712
24.042,20.155,1,0.620
16.648,20.158,1,0.825
1.753,20.165,2,0.911
9.186,20.257,1,0.607
22.486,20.259,2,0.917
28.641,20.306,1,0.623
6.417,20.310,1,0.766
19.625,20.333,1,0.744
13.882,20.420,2,0.521
25.846,20.439,1,0.577
18.494,20.454,1,0.889
3.590,20.464,2,0.931
24.357,20.551,1,0.783
0.743,20.557,1,0.748
11.070,20.561,1,0.579
8.199,20.578,1,0.782
30.446,20.606,1,0.834
21.478,20.627,1,0.616
20.299,20.709,1,0.605
27.648,20.721,1,0.546
5.422,20.736,2,0.973
15.748,20.754,2,0.535
10.033,20.816,1,0.726
2.580,20.849,1,0.688
12.903,20.871,1,0.731
26.220,20.874,1,0.890
23.341,20.915,1,0.586
22.082,20.980,0,0.000
29.454,21.013,1,0.611
7.224,21.037,2,0.938
17.591,21.042,2,0.610
11.849,21.078,1,0.743
4.435,21.128,1,0.748
14.769,21.185,1,0.768
28.089,21.217,1,0.800
1.606,21.222,1,0.937
23.885,21.241,1,0.680
25.205,21.243,1,0.663
9.070,21.296,2,0.827
19.414,21.325,2,0.731
13.679,21.346,1,0.838
6.223,21.401,1,0.945
16.613,21.484,1,0.773
3.436,21.495,1,0.856
25.670,21.511,1,0.686
29.892,21.555,1,0.461
27.067,21.559,1,0.625
10.887,21.564,2,0.831
0.592,21.619,2,0.911
15.508,21.624,1,0.754
21.284,21.655,2,0.818
8.063,21.703,1,0.674
5.286,21.765,1,0.743
18.438,21.771,1,0.700
27.500,21.783,1,0.779
12.719,21.878,2,0.871
2.415,21.902,2,0.897
17.368,21.906,1,0.657
28.898,21.922,1,0.663
23.143,21.954,2,0.738
9.904,21.979,1,0.691
20.279,22.048,1,0.812
7.074,22.057,1,0.540
29.337,22.079,1,0.800
4.247,22.169,2,0.904
14.563,22.173,2,0.786
19.179,22.191,0,0.000
26.533,22.198,1,0.636
30.734,22.227,1,0.473
25.021,22.286,1,0.694
1.401,22.294,1,0.735
11.745,22.302,1,0.734
8.868,22.333,1,0.605
22.144,22.343,1,0.627
20.994,22.449,1,0.690
6.074,22.460,2,0.869
16.414,22.463,2,0.552
28.340,22.478,1,0.553
3.233,22.569,1,0.875
10.679,22.573,1,0.704
26.912,22.599,1,0.756
13.593,22.607,1,0.822
24.003,22.643,1,0.627
0.453,22.687,1,0.832
7.894,22.740,2,0.897
18.252,22.748,2,0.684
22.829,22.775,0,0.000
12.517,22.836,1,0.792
30.169,22.836,1,0.615
5.066,22.854,1,0.619
28.733,22.883,0,0.017
15.432,22.919,1,0.630
2.283,22.950,1,0.899
25.875,22.959,1,0.647
9.718,23.044,2,0.862
24.575,23.054,0,0.000
20.083,23.063,2,0.707
14.357,23.078,1,0.781
6.896,23.148,1,0.837
30.571,23.206,0,0.000
4.124,23.239,1,0.362
27.778,23.239,1,0.642
17.257,23.258,1,0.678
26.398,23.276,1,0.633
11.553,23.325,2,0.883
1.248,23.344,2,0.924
16.179,23.356,1,0.569
21.951,23.372,2,0.850
8.720,23.445,1,0.845
19.093,23.480,1,0.586
5.921,23.485,0,0.000
29.593,23.522,1,0.614
28.259,23.565,1,0.753
18.054,23.573,1,0.367
13.394,23.593,2,0.813
3.073,23.634,2,0.890
25.408,23.638,1,0.584
23.814,23.695,2,0.754
0.229,23.733,1,0.667
10.560,23.735,1,0.817
7.757,23.747,0,0.000
15.188,23.754,2,0.466
20.950,23.767,1,0.673
30.060,23.848,0,0.055
19.870,23.881,0,0.000
4.918,23.905,2,0.883
25.685,24.009,1,0.809
2.062,24.034,1,0.816
12.396,24.042,1,0.655
22.801,24.057,1,0.733
9.568,24.058,1,0.451
17.072,24.106,2,0.071
21.727,24.166,1,0.585
6.740,24.175,2,0.897
27.555,24.276,2,0.965
23.541,24.306,0,0.000
11.380,24.327,0,0.263
3.883,24.335,1,0.729
14.243,24.339,1,0.680
24.670,24.377,1,0.665
1.130,24.385,1,0.830
8.558,24.462,2,0.876
18.918,24.489,2,0.685
29.391,24.548,2,0.944
13.205,24.556,1,0.947
5.722,24.607,1,0.827
16.102,24.633,1,0.577
2.948,24.664,1,0.990
26.545,24.673,1,0.779
25.288,24.708,1,0.720
10.390,24.763,2,0.890
15.050,24.785,1,0.722
20.771,24.803,2,0.815
4.795,24.894,1,0.664
7.554,24.894,1,0.543
17.925,24.897,1,0.599
28.393,24.941,1,0.722
27.142,25.027,1,0.752
24.280,25.042,1,0.775
16.903,25.050,1,0.527
12.221,25.061,2,0.848
1.906,25.063,2,0.952
22.632,25.104,2,0.693
6.624,25.129,1,0.056
19.778,25.182,1,0.657
9.386,25.198,1,0.783
30.253,25.252,1,0.405
18.724,25.294,1,0.278
14.064,25.327,2,0.875
28.929,25.339,1,0.681
3.751,25.356,2,0.904
8.444,25.417,0,0.000
24.500,25.429,2,0.956
11.218,25.478,1,0.704
0.895,25.480,1,0.731
21.637,25.498,1,0.778
30.714,25.574,1,0.452
20.555,25.593,1,0.479
15.911,25.600,2,0.557
5.572,25.617,2,0.841
26.374,25.723,2,0.892
10.254,25.729,0,0.000
13.066,25.769,1,0.654
2.732,25.777,1,0.892
23.491,25.786,1,0.755
22.400,25.859,1,0.598
7.384,25.916,2,0.765
17.755,25.924,2,0.821
28.198,26.004,2,0.948
12.083,26.021,0,0.000
14.920,26.060,1,0.709
4.549,26.069,1,0.628
1.781,26.073,1,0.741
25.368,26.104,1,0.710
24.131,26.127,1,0.401
19.595,26.182,2,0.421
9.225,26.185,2,0.803
13.882,26.278,1,0.597
30.054,26.288,2,0.866
16.759,26.339,1,0.791
3.630,26.348,1,0.900
6.362,26.354,1,0.603
27.206,26.439,1,0.607
25.997,26.450,1,0.859
11.059,26.470,2,0.771
15.750,26.518,1,0.718
0.757,26.525,2,0.904
21.441,26.526,2,0.558
5.470,26.553,1,0.424
8.201,26.630,1,0.612
18.589,26.631,1,0.531
29.055,26.680,1,0.662
27.803,26.754,0,0.000
12.886,26.777,2,0.841
17.603,26.783,1,0.715
2.579,26.804,2,0.840
7.303,26.805,1,0.000
23.304,26.835,2,0.646
10.040,26.926,1,0.751
20.425,26.931,1,0.616
19.455,27.030,1,0.504
29.587,27.043,1,0.213
14.744,27.048,2,0.824
4.417,27.084,2,0.698
9.139,27.098,1,0.053
26.897,27.119,1,0.515
25.196,27.155,2,0.709
11.885,27.215,1,0.858
22.299,27.221,1,0.628
1.560,27.236,1,0.598
6.275,27.260,2,0.411
21.285,27.309,0,0.000
16.582,27.315,2,0.773
10.968,27.441,0,0.000
18.446,27.477,2,0.606
13.720,27.503,1,0.931
24.168,27.522,1,0.660
3.382,27.532,1,0.745
0.613,27.539,1,0.649
8.100,27.549,2,0.214
23.092,27.628,0,0.000
30.436,27.686,1,0.484
28.851,27.731,2,0.775
12.809,27.752,0,0.000
2.479,27.780,1,0.810
26.071,27.790,1,0.731
15.566,27.791,1,0.713
9.970,27.811,2,0.290
5.186,27.861,1,0.678
24.864,27.882,1,0.711
20.260,27.969,2,0.657
14.624,27.988,1,0.684
4.315,28.050,1,0.803
30.726,28.072,1,0.493
27.830,28.078,1,0.654
7.027,28.085,1,0.633
17.399,28.086,1,0.754
26.733,28.149,1,0.376
1.436,28.218,2,0.853
16.445,28.228,1,0.979
11.727,28.239,2,0.583
22.116,28.273,2,0.830
6.152,28.300,1,0.562
8.819,28.358,1,0.472
19.235,28.372,1,0.541
29.714,28.429,1,0.580
13.587,28.435,2,0.360
18.287,28.461,1,0.747
28.518,28.464,0,0.000
3.246,28.532,2,0.911
23.973,28.562,2,0.588
7.987,28.577,1,0.525
0.445,28.652,1,0.712
21.105,28.662,1,0.595
10.688,28.665,1,0.705
20.132,28.715,1,0.310
30.313,28.729,1,0.586
5.103,28.766,2,0.749
15.418,28.769,2,0.793
9.843,28.814,1,0.394
25.833,28.828,2,0.743
2.183,28.925,1,0.541
12.539,28.952,1,0.556
22.962,28.956,1,0.576
17.263,28.977,2,0.366
21.965,28.983,1,0.155
11.694,29.037,1,0.003
6.870,29.079,2,0.579
29.320,29.087,1,0.636
27.680,29.141,2,0.751
4.070,29.224,1,0.752
14.398,29.236,1,0.575
24.829,29.245,1,0.691
1.308,29.258,1,0.839
23.782,29.311,1,0.646
8.710,29.357,2,0.410
13.512,29.372,1,0.463
20.964,29.409,1,0.710
19.072,29.418,2,0.668
29.559,29.478,1,0.566
3.138,29.493,1,0.716
5.809,29.497,1,0.597
10.647,29.515,2,0.490
16.225,29.529,1,0.559
26.678,29.545,1,0.764
25.579,29.603,1,0.715
0.259,29.684,2,0.890
15.323,29.707,0,0.000
22.788,29.723,2,0.691
4.966,29.763,1,0.800
12.479,29.795,2,0.596
7.671,29.822,1,0.624
18.064,29.823,1,0.527
28.537,29.831,1,0.663
27.434,29.861,1,0.300
17.114,29.911,1,0.566
2.079,29.948,2,0.848
6.813,30.009,1,0.757
19.904,30.111,1,0.705
9.506,30.119,1,0.683
30.406,30.120,1,0.316
29.256,30.159,1,0.552
18.960,30.166,1,0.609
24.635,30.236,2,0.450
3.893,30.237,2,0.705
8.661,30.273,1,0.733
14.224,30.306,2,0.605
1.040,30.396,1,0.491
21.760,30.401,1,0.515
11.353,30.412,1,0.558
20.813,30.450,1,0.450
10.515,30.524,1,0.408
5.719,30.525,2,0.597
16.068,30.536,2,0.435
26.485,30.556,2,0.514
2.858,30.673,1,0.435
23.623,30.678,1,0.496
13.208,30.692,1,0.519
0.160,30.694,1,0.433
22.651,30.808,0,0.084
